,ds,y_actual,yhat
120,2017-05-19,1987.7099609375,2525.509
121,2017-05-20,2084.72998046875,2580.9028
122,2017-05-21,2041.199951171875,2621.3792
123,2017-05-22,2173.39990234375,2675.7275
124,2017-05-23,2320.419921875,2748.1096
125,2017-05-24,2443.639892578125,2832.6233
126,2017-05-25,2304.97998046875,2876.134
127,2017-05-26,2202.419921875,2882.1765
128,2017-05-27,2038.8699951171875,2844.6968
129,2017-05-28,2155.800048828125,2825.4062
130,2017-05-29,2255.610107421875,2830.2615
131,2017-05-30,2175.469970703125,2826.1501
132,2017-05-31,2286.409912109375,2845.4785
133,2017-06-01,2407.8798828125,2889.029
134,2017-06-02,2488.550048828125,2946.9177
135,2017-06-03,2515.35009765625,3002.634
136,2017-06-04,2511.81005859375,3045.3496
137,2017-06-05,2686.81005859375,3108.347
138,2017-06-06,2863.199951171875,3194.5889
139,2017-06-07,2732.159912109375,3242.309
140,2017-06-08,2805.6201171875,3286.5178
141,2017-06-09,2823.81005859375,3321.2905
142,2017-06-10,2947.7099609375,3368.8481
143,2017-06-11,2958.110107421875,3411.8188
144,2017-06-12,2659.6298828125,3389.622
145,2017-06-13,2717.02001953125,3370.6328
146,2017-06-14,2506.3701171874995,3311.2568
147,2017-06-15,2464.580078125,3247.072
148,2017-06-16,2518.56005859375,3203.0117
149,2017-06-17,2655.8798828125,3200.0715
150,2017-06-18,2548.2900390625,3188.5322
151,2017-06-19,2589.60009765625,3187.878
152,2017-06-20,2721.7900390625,3215.6025
153,2017-06-21,2689.10009765625,3237.7854
154,2017-06-22,2705.409912109375,3257.9575
155,2017-06-23,2744.909912109375,3279.1885
156,2017-06-24,2608.719970703125,3267.9414
157,2017-06-25,2589.409912109375,3248.154
158,2017-06-26,2478.449951171875,3207.343
159,2017-06-27,2552.449951171875,3182.2893
160,2017-06-28,2574.7900390625,3169.9985
161,2017-06-29,2539.320068359375,3158.6133
162,2017-06-30,2480.840087890625,3142.293
163,2017-07-01,2434.550048828125,3120.9849
164,2017-07-02,2506.469970703125,3115.198
165,2017-07-03,2564.06005859375,3125.536
166,2017-07-04,2601.639892578125,3143.5574
167,2017-07-05,2601.989990234375,3160.2146
168,2017-07-06,2608.56005859375,3174.8857
169,2017-07-07,2518.659912109375,3168.8164
170,2017-07-08,2571.340087890625,3167.6055
171,2017-07-09,2518.43994140625,3156.1343
172,2017-07-10,2372.56005859375,3117.849
173,2017-07-11,2337.7900390625,3074.5771
174,2017-07-12,2398.840087890625,3050.0156
175,2017-07-13,2357.89990234375,3027.3298
176,2017-07-14,2233.340087890625,2987.1157
177,2017-07-15,1998.8599853515627,2908.2312
178,2017-07-16,1929.8199462890627,2823.4094
179,2017-07-17,2228.409912109375,2809.8914
180,2017-07-18,2318.8798828125,2831.4067
181,2017-07-19,2273.429931640625,2851.7737
182,2017-07-20,2817.60009765625,2973.451
183,2017-07-21,2667.760009765625,3062.9387
184,2017-07-22,2810.1201171875,3159.6023
185,2017-07-23,2730.39990234375,3220.082
186,2017-07-24,2754.860107421875,3262.982
187,2017-07-25,2576.47998046875,3254.7673
188,2017-07-26,2529.449951171875,3225.7827
189,2017-07-27,2671.780029296875,3221.9407
190,2017-07-28,2809.010009765625,3250.695
191,2017-07-29,2726.449951171875,3267.7034
192,2017-07-30,2757.179931640625,3288.4507
193,2017-07-31,2875.340087890625,3330.4622
194,2017-08-01,2718.260009765625,3340.2332
195,2017-08-02,2710.669921875,3340.9355
196,2017-08-03,2804.72998046875,3354.158
197,2017-08-04,2895.889892578125,3380.79
198,2017-08-05,3252.909912109375,3472.741
199,2017-08-06,3213.93994140625,3553.973
200,2017-08-07,3378.93994140625,3651.2
201,2017-08-08,3419.93994140625,3738.2014
202,2017-08-09,3342.469970703125,3793.1592
203,2017-08-10,3381.280029296875,3834.0667
204,2017-08-11,3650.6201171875,3914.5093
205,2017-08-12,3884.7099609375,4030.5554
206,2017-08-13,4073.260009765625,4169.7373
207,2017-08-14,4325.1298828125,4336.2886
208,2017-08-15,4181.930175781251,4446.267
209,2017-08-16,4376.6298828125,4562.3726
210,2017-08-17,4331.68994140625,4642.6147
211,2017-08-18,4160.6201171875,4661.1978
212,2017-08-19,4193.7001953125,4666.633
213,2017-08-20,4087.659912109375,4642.7656
214,2017-08-21,4001.739990234375,4597.5205
215,2017-08-22,4100.52001953125,4576.03
216,2017-08-23,4151.52001953125,4574.8076
217,2017-08-24,4334.68017578125,4618.637
218,2017-08-25,4371.60009765625,4675.6035
219,2017-08-26,4352.39990234375,4722.0156
220,2017-08-27,4382.8798828125,4763.768
221,2017-08-28,4382.66015625,4792.4473
222,2017-08-29,4579.02001953125,4847.5015
223,2017-08-30,4565.2998046875,4889.8125
224,2017-08-31,4703.39013671875,4949.3525
225,2017-09-01,4892.009765625,5037.7227
226,2017-09-02,4578.77001953125,5050.0327
227,2017-09-03,4582.9599609375,5047.234
228,2017-09-04,4236.31005859375,4965.2515
229,2017-09-05,4376.52978515625,4913.2104
230,2017-09-06,4597.1201171875,4919.44
231,2017-09-07,4599.8798828125,4938.895
232,2017-09-08,4228.75,4887.303
233,2017-09-09,4226.06005859375,4832.7515
234,2017-09-10,4122.93994140625,4763.785
235,2017-09-11,4161.27001953125,4713.964
236,2017-09-12,4130.81005859375,4672.097
237,2017-09-13,3882.590087890625,4593.173
238,2017-09-14,3154.949951171875,4378.186
239,2017-09-15,3637.52001953125,4273.808
240,2017-09-16,3625.0400390625,4203.9146
241,2017-09-17,3582.8798828125,4153.643
242,2017-09-18,4065.199951171875,4220.103
243,2017-09-19,3924.969970703125,4272.386
244,2017-09-20,3905.949951171875,4315.58
245,2017-09-21,3631.0400390625,4293.2896
246,2017-09-22,3630.699951171875,4256.049
247,2017-09-23,3792.39990234375,4249.191
248,2017-09-24,3682.840087890625,4222.8286
249,2017-09-25,3926.070068359375,4249.68
250,2017-09-26,3892.35009765625,4277.579
251,2017-09-27,4200.669921875,4365.73
252,2017-09-28,4174.72998046875,4442.524
253,2017-09-29,4163.06982421875,4503.8706
254,2017-09-30,4338.709960937499,4584.8105
255,2017-10-01,4403.740234375,4665.822
256,2017-10-02,4409.31982421875,4730.8984
257,2017-10-03,4317.47998046875,4756.6035
258,2017-10-04,4229.35986328125,4742.931
259,2017-10-05,4328.41015625,4744.685
260,2017-10-06,4370.81005859375,4754.622
261,2017-10-07,4426.89013671875,4777.138
262,2017-10-08,4610.47998046875,4841.1367
263,2017-10-09,4772.02001953125,4934.3286
264,2017-10-10,4781.990234375,5019.035
265,2017-10-11,4826.47998046875,5092.555
266,2017-10-12,5446.91015625,5274.6743
267,2017-10-13,5647.209960937499,5481.471
268,2017-10-14,5831.7900390625,5691.1016
269,2017-10-15,5678.18994140625,5825.1133
270,2017-10-16,5725.58984375,5920.079
271,2017-10-17,5605.509765625,5954.512
272,2017-10-18,5590.68994140625,5959.0093
273,2017-10-19,5708.52001953125,5976.316
274,2017-10-20,6011.4501953125,6057.2236
275,2017-10-21,6031.60009765625,6141.7227
276,2017-10-22,6008.419921875,6209.998
277,2017-10-23,5930.31982421875,6244.7505
278,2017-10-24,5526.64013671875,6177.115
279,2017-10-25,5750.7998046875,6148.2134
280,2017-10-26,5904.830078125,6159.114
281,2017-10-27,5780.89990234375,6150.1914
282,2017-10-28,5753.08984375,6136.1094
283,2017-10-29,6153.85009765625,6208.09
284,2017-10-30,6130.52978515625,6275.13
285,2017-10-31,6468.39990234375,6403.187
286,2017-11-01,6767.31005859375,6585.323
287,2017-11-02,7078.5,6810.161
288,2017-11-03,7207.759765625,7025.6626
289,2017-11-04,7379.9501953125,7227.6055
290,2017-11-05,7407.41015625,7383.3706
291,2017-11-06,7022.759765625,7401.521
292,2017-11-07,7144.3798828125,7406.4473
293,2017-11-08,7459.68994140625,7468.546
294,2017-11-09,7143.580078125,7459.456
295,2017-11-10,6618.14013671875,7326.609
296,2017-11-11,6357.60009765625,7140.236
297,2017-11-12,5950.06982421875,6890.674
298,2017-11-13,6559.490234374999,6813.184
299,2017-11-14,6635.75,6808.2305
300,2017-11-15,7315.5400390625,6983.0464
301,2017-11-16,7871.68994140625,7287.976
302,2017-11-17,7708.990234375,7527.532
303,2017-11-18,7790.14990234375,7724.5425
304,2017-11-19,8036.490234375,7911.056
305,2017-11-20,8200.6396484375,8079.5435
306,2017-11-21,8071.259765625,8168.306
307,2017-11-22,8253.5498046875,8256.031
308,2017-11-23,8038.77001953125,8266.461
309,2017-11-24,8253.6904296875,8307.304
310,2017-11-25,8790.919921875,8467.003
311,2017-11-26,9330.5498046875,8744.909
312,2017-11-27,9818.349609375,9116.047
313,2017-11-28,10058.7998046875,9495.798
314,2017-11-29,9888.6103515625,9752.3545
315,2017-11-30,10233.599609375,9997.551
316,2017-12-01,10975.599609375,10346.418
317,2017-12-02,11074.599609375,10646.735
318,2017-12-03,11323.2001953125,10930.929
319,2017-12-04,11657.2001953125,11219.478
320,2017-12-05,11916.700195312502,11504.333
321,2017-12-06,14291.5,12336.85
322,2017-12-07,17899.69921875,14082.167
323,2017-12-08,16569.400390625,15293.486
324,2017-12-09,15178.2001953125,15725.911
325,2017-12-10,15455.400390625,15894.772
326,2017-12-11,16936.80078125,16300.887
327,2017-12-12,17415.400390625,16748.295
328,2017-12-13,16408.19921875,16783.572
329,2017-12-14,16564.0,16764.855
330,2017-12-15,17706.900390625,17058.4
331,2017-12-16,19497.400390625,17890.59
