,Open,High,Low,Close,Adj Close,Volume
578,1273.2099609375,1275.550048828125,1204.800048828125,1223.5400390625,1223.5400390625,291256000
579,1223.22998046875,1232.1600341796875,1148.0799560546875,1150.0,1150.0,332603008
580,1150.3499755859375,1197.4599609375,1141.22998046875,1188.489990234375,1188.489990234375,212283008
581,1189.3599853515625,1270.469970703125,1077.25,1116.719970703125,1116.719970703125,563795968
582,1116.3199462890625,1193.8299560546875,1116.3199462890625,1175.8299560546875,1175.8299560546875,283320000
583,1176.6199951171875,1226.97998046875,1175.3599853515625,1221.3800048828125,1221.3800048828125,227176000
584,1221.780029296875,1237.3699951171875,1217.030029296875,1231.9200439453125,1231.9200439453125,380276992
585,1232.1600341796875,1244.81005859375,1220.719970703125,1240.0,1240.0,245306000
586,1240.1600341796875,1251.6099853515625,1239.75,1249.6099853515625,1249.6099853515625,297804992
587,1251.3299560546875,1257.97998046875,1152.43994140625,1187.81005859375,1187.81005859375,638568000
588,1180.1600341796875,1180.1600341796875,1099.5699462890625,1100.22998046875,1100.22998046875,706598976
589,1099.68994140625,1114.0699462890625,957.655029296875,973.8179931640624,973.8179931640624,621302016
590,976.72998046875,1069.9100341796875,976.72998046875,1036.739990234375,1036.739990234375,406648000
591,1037.239990234375,1063.030029296875,1036.6800537109375,1054.22998046875,1054.22998046875,286529984
592,1055.3599853515625,1122.4300537109375,1055.3599853515625,1120.5400390625,1120.5400390625,337391008
593,1120.6500244140625,1120.6500244140625,1014.2100219726562,1049.1400146484375,1049.1400146484375,380840992
594,1050.050048828125,1058.010009765625,1028.9300537109375,1038.5899658203125,1038.5899658203125,248540000
595,1038.449951171875,1040.469970703125,934.3579711914062,937.52001953125,937.52001953125,491038016
596,936.5399780273438,975.760986328125,903.7130126953124,972.7789916992188,972.7789916992188,435803008
597,974.0150146484376,1007.9600219726562,954.1859741210938,966.7249755859376,966.7249755859376,303668000
598,972.0549926757812,1046.4000244140625,971.9840087890624,1045.77001953125,1045.77001953125,372535008
599,1044.5799560546875,1064.6500244140625,1027.72998046875,1047.1500244140625,1047.1500244140625,326332000
600,1046.0799560546875,1055.1300048828125,1015.8800048828124,1039.969970703125,1039.969970703125,298457984
601,1042.2099609375,1049.2900390625,1020.0399780273438,1026.4300537109375,1026.4300537109375,352968992
602,1026.6400146484375,1074.9200439453125,1026.6400146484375,1071.7900390625,1071.7900390625,447287008
603,1071.7099609375,1091.719970703125,1061.0899658203125,1080.5,1080.5,289633984
604,1080.6099853515625,1107.5899658203125,1075.449951171875,1102.1700439453125,1102.1700439453125,514187008
605,1102.949951171875,1151.739990234375,1102.949951171875,1143.81005859375,1143.81005859375,580444032
606,1145.52001953125,1156.43994140625,1120.52001953125,1133.25,1133.25,436310016
607,1134.1400146484375,1135.0899658203125,1113.6300048828125,1124.780029296875,1124.780029296875,414784000
608,1125.81005859375,1188.3699951171875,1125.81005859375,1182.6800537109375,1182.6800537109375,511222016
609,1178.93994140625,1186.5799560546875,1163.3900146484375,1176.9000244140625,1176.9000244140625,317022016
610,1172.6500244140625,1184.97998046875,1162.5799560546875,1175.949951171875,1175.949951171875,209312000
611,1176.5699462890625,1197.2099609375,1171.8599853515625,1187.8699951171875,1187.8699951171875,242343008
612,1187.300048828125,1190.3399658203125,1179.0400390625,1187.1300048828125,1187.1300048828125,215883008
613,1187.4599609375,1208.0699462890625,1187.4599609375,1205.010009765625,1205.010009765625,216182000
614,1204.81005859375,1207.1400146484375,1196.760009765625,1200.3699951171875,1200.3699951171875,288702016
615,1201.02001953125,1205.8900146484375,1156.43994140625,1169.280029296875,1169.280029296875,351968992
